,epoch,Train loss,Test loss,Train Accuracy,Test Accuracy,sparsity conv1,sparsity conv2,sparsity mlp1,sparsity mlp2,edge sparsity,param pruned,flops ratio,flops pruned,epoch duration,run duration,lr,batch_size
0,0,3.392235167439779,0.62686015625,0.5899666666666666,0.7784000039100647,1.0,1.0,1.0,1.0,0.9895790573571669,1060710.0,1.0,2949030.0,4.4406468868255615,6.594167947769165,0.001,1024
1,1,0.5697152150472006,0.547055126953125,0.7868,0.8025999665260315,1.0,1.0,1.0,1.0,0.989070604918461,1060165.0,1.0,2949030.0,2.9069058895111084,9.518850326538086,0.001,1024
2,2,0.4768385991414388,0.482207470703125,0.8210666666666666,0.8287000060081482,1.0,1.0,1.0,1.0,0.9884823860879949,1059534.5,1.0,2949030.0,2.9807863235473633,12.513788938522339,0.001,1024
3,3,0.4392060582478841,0.45009658203125,0.8368333333333333,0.8442999720573425,1.0,1.0,1.0,1.0,0.9879296189872001,1058942.0,1.0,2949030.0,2.8998563289642334,15.428125858306885,0.001,1024
4,4,0.4000579470316569,0.4245083984375,0.8515333333333334,0.8511999845504761,1.0,1.0,1.0,1.0,0.987271429637646,1058236.5,1.0,2949030.0,2.9520723819732666,18.39512038230896,0.001,1024
5,5,0.3646295939127604,0.394735791015625,0.86485,0.8628000020980835,1.0,1.0,1.0,1.0,0.9865474680001493,1057460.5,1.0,2949030.0,2.906287670135498,21.31635332107544,0.001,1024
6,6,0.346541015625,0.3764471923828125,0.8703333333333333,0.8707000017166138,1.0,1.0,1.0,1.0,0.9857306788073292,1056585.0,1.0,2949030.0,2.910181760787964,24.242145776748657,0.001,1024
7,7,0.331122998046875,0.3730947021484375,0.8756833333333334,0.8729999661445618,1.0,1.0,1.0,1.0,0.9848868343471284,1055680.5,1.0,2949030.0,2.9349076747894287,27.192593097686768,0.001,1024
8,8,0.3163210360209147,0.367381298828125,0.8822333333333333,0.8743000030517578,1.0,1.0,1.0,1.0,0.9839119117811695,1054635.5,1.0,2949030.0,3.0897202491760254,30.297933101654053,0.001,1024
9,9,0.3075831143697103,0.355189208984375,0.8835833333333334,0.8826999664306641,1.0,1.0,1.0,1.0,0.9828087099302161,1053453.0,1.0,2949030.0,2.864888906478882,33.178802251815796,0.001,1024
10,10,0.28996664683024087,0.3517448486328125,0.8913666666666666,0.8776999711990356,1.0,1.0,1.0,1.0,0.9817213680635892,1052287.5,1.0,2949030.0,2.9778058528900146,36.17275905609131,0.001,1024
11,11,0.279999281056722,0.3410943359375,0.8930166666666667,0.8841999769210815,1.0,1.0,1.0,1.0,0.9805164757248945,1050996.0,1.0,2949030.0,2.981759548187256,39.1709189414978,0.001,1024
12,12,0.2713632748921712,0.3387807373046875,0.89775,0.8852999806404114,1.0,1.0,1.0,1.0,0.9790568906967198,1049431.5,1.0,2949030.0,2.919010877609253,42.106701135635376,0.001,1024
13,13,0.263033851369222,0.3461565673828125,0.8996833333333333,0.8824999928474426,1.0,1.0,1.0,1.0,0.9775571892376013,1047824.0,1.0,2949030.0,2.936962842941284,45.06058931350708,0.001,1024
14,14,0.25889682947794596,0.3435111328125,0.9015333333333333,0.8878999948501587,1.0,1.0,1.0,1.0,0.9758475762212188,1045991.5,1.0,2949030.0,2.868408679962158,47.946008920669556,0.001,1024
15,15,0.25049716669718425,0.329213720703125,0.9051833333333333,0.8920999765396118,1.0,1.0,1.0,1.0,0.9740572638728215,1044072.5,1.0,2949030.0,2.888359785079956,50.851441860198975,0.001,1024
16,16,0.23965243606567382,0.3262544677734375,0.9098833333333334,0.8919999599456787,1.0,1.0,1.0,1.0,0.972017390006344,1041886.0,1.0,2949030.0,2.9025685787200928,53.77167844772339,0.001,1024
17,17,0.23652156524658202,0.3438419189453125,0.9092166666666667,0.8868999481201172,1.0,1.0,1.0,1.0,0.9695763518304288,1039269.5,1.0,2949030.0,2.8769593238830566,56.66627550125122,0.001,1024
18,18,0.2309995679219564,0.32288447265625,0.91285,0.8924999833106995,1.0,1.0,1.0,1.0,0.9671185207299324,1036635.0,1.0,2949030.0,2.9558980464935303,59.63992261886597,0.001,1024
19,19,0.22841345799763998,0.32148603515625,0.9127,0.8926999568939209,1.0,1.0,1.0,1.0,0.9644036645893197,1033725.0,1.0,2949030.0,2.888457775115967,62.546385049819946,0.001,1024
20,20,0.21397276687622072,0.33063310546875,0.91795,0.8912999629974365,1.0,1.0,1.0,1.0,0.9613790722842109,1030483.0,1.0,2949030.0,3.1708173751831055,65.73545408248901,0.001,1024
21,21,0.2215801550547282,0.320613525390625,0.9159833333333334,0.8939999938011169,1.0,1.0,1.0,1.0,0.9578520916520507,1026702.5,1.0,2949030.0,2.8816990852355957,68.63568949699402,0.001,1024
22,22,0.21285765329996745,0.3329875732421875,0.9186166666666666,0.8932999968528748,1.0,1.0,1.0,1.0,0.9541940329141322,1022781.5,1.0,2949030.0,2.963261604309082,71.61750721931458,0.001,1024
23,23,0.21017488288879393,0.3279369384765625,0.9207166666666666,0.8951999545097351,1.0,1.0,1.0,1.0,0.9501259469343584,1018421.0,1.0,2949030.0,2.9870948791503906,74.62344074249268,0.001,1024
24,24,0.20862187271118163,0.3167363525390625,0.9209833333333334,0.8982999920845032,1.0,1.0,1.0,1.0,0.9457523230212337,1013733.0,1.0,2949030.0,2.85685396194458,77.4994215965271,0.001,1024
25,25,0.19645324516296386,0.319169970703125,0.92585,0.9009999632835388,1.0,1.0,1.0,1.0,0.9407760197036982,1008399.0,1.0,2949030.0,3.024049758911133,80.54261350631714,0.001,1024
26,26,0.1998524996439616,0.3182653076171875,0.9231333333333334,0.8987999558448792,1.0,1.0,1.0,1.0,0.9353509721237452,1002584.0,1.0,2949030.0,2.9845657348632812,83.54709362983704,0.001,1024
27,27,0.19841946665445964,0.33519423828125,0.9244666666666667,0.8976999521255493,1.0,1.0,1.0,1.0,0.9291417882598798,995928.5,1.0,2949030.0,2.9716684818267822,86.53858828544617,0.001,1024
28,28,0.20384336865743002,0.3347659423828125,0.9220666666666667,0.8922999501228333,1.0,1.0,1.0,1.0,0.922885490913162,989222.5,1.0,2949030.0,2.9629411697387695,89.52186846733093,0.001,1024
29,29,0.19834338442484536,0.3207670166015625,0.9236333333333333,0.8977999687194824,1.0,1.0,1.0,1.0,0.9158352614098593,981665.5,1.0,2949030.0,3.065443277359009,92.60758757591248,0.001,1024
30,30,0.1945304136912028,0.3285167724609375,0.9251,0.9018999934196472,1.0,1.0,1.0,1.0,0.9080358808821883,973305.5,1.0,2949030.0,2.9772770404815674,95.60562753677368,0.001,1024
31,31,0.19158967005411784,0.31518515625,0.9264333333333333,0.9056999683380127,1.0,1.0,1.0,1.0,0.8996002351009441,964263.5,1.0,2949030.0,2.9139766693115234,98.5403823852539,0.001,1024
32,32,0.19868399861653646,0.325376123046875,0.9237666666666666,0.8985999822616577,1.0,1.0,1.0,1.0,0.8903487330671344,954347.0,1.0,2949030.0,2.944997787475586,101.50656151771545,0.001,1024
33,33,0.1915591744740804,0.32362041015625,0.9263666666666667,0.9027999639511108,1.0,1.0,1.0,1.0,0.8808999141694965,944219.0,1.0,2949030.0,3.036728620529175,104.56457376480103,0.001,1024
34,34,0.1903037892659505,0.3310111572265625,0.9270833333333334,0.8977999687194824,1.0,1.0,1.0,1.0,0.8700712766354443,932612.0,1.0,2949030.0,2.934046506881714,107.52015781402588,0.001,1024
35,35,0.19067071062723795,0.351603955078125,0.9261833333333334,0.8952999711036682,1.0,1.0,1.0,1.0,0.8589249729447326,920664.5,1.0,2949030.0,2.8804993629455566,110.42242527008057,0.001,1024
36,36,0.19639841588338217,0.32215068359375,0.9243833333333333,0.9023000001907349,1.0,1.0,1.0,1.0,0.8469446206664926,907823.0,1.0,2949030.0,2.893007516860962,113.33728241920471,0.001,1024
37,37,0.19498278986612955,0.33363115234375,0.9261166666666667,0.8991999626159668,1.0,1.0,1.0,1.0,0.8343975071836399,894374.0,1.0,2949030.0,2.9421603679656982,116.30160975456238,0.001,1024
38,38,0.20028782590230307,0.3304572998046875,0.9232666666666667,0.902899980545044,1.0,1.0,1.0,1.0,0.8209710975109153,879982.5,1.0,2949030.0,2.90803599357605,119.2318503856659,0.001,1024
39,39,0.19508026962280273,0.3443476806640625,0.9255166666666667,0.9007999897003174,1.0,1.0,1.0,1.0,0.806831455013621,864826.5,1.0,2949030.0,2.983733654022217,122.23854732513428,0.001,1024
40,40,0.20287893676757812,0.323784130859375,0.9224666666666667,0.9019999504089355,1.0,1.0,1.0,1.0,0.792078870769116,849013.5,1.0,2949030.0,3.0485665798187256,125.31050419807434,0.001,1024
41,41,0.2008853535970052,0.3209072021484375,0.9234333333333333,0.9047999978065491,1.0,1.0,1.0,1.0,0.7768495540545584,832689.5,1.0,2949030.0,2.9501256942749023,128.28404426574707,0.001,1024
