,epoch,Train loss,Test loss,Train Accuracy,Test Accuracy,sparsity conv1,sparsity conv2,sparsity mlp1,sparsity mlp2,edge sparsity,param pruned,flops ratio,flops pruned,epoch duration,run duration,lr,batch_size
0,0,3.3924243738810222,0.62814755859375,0.5899833333333333,0.7787999510765076,1.0,1.0,1.0,1.0,0.9895795238272941,1060710.5,1.0,2949030.0,6.570895195007324,11.836291313171387,0.001,1024
1,1,0.5749871607462566,0.545952783203125,0.7841333333333333,0.8047999739646912,1.0,1.0,1.0,1.0,0.989068739037952,1060163.0,1.0,2949030.0,3.0870132446289062,14.939133882522583,0.001,1024
2,2,0.4808278772989909,0.47084052734375,0.8195,0.8325999975204468,1.0,1.0,1.0,1.0,0.9884795872672314,1059531.5,1.0,2949030.0,2.8867440223693848,17.83997869491577,0.001,1024
3,3,0.4412408782958984,0.44992041015625,0.8369666666666666,0.8435999751091003,1.0,1.0,1.0,1.0,0.9879296189872001,1058942.0,1.0,2949030.0,2.9857025146484375,20.841273307800293,0.001,1024
4,4,0.3965882387797038,0.428613037109375,0.8518666666666667,0.8522999882698059,1.0,1.0,1.0,1.0,0.9872667649363734,1058231.5,1.0,2949030.0,3.0195236206054688,23.875741004943848,0.001,1024
5,5,0.36829263763427733,0.393124072265625,0.86395,0.8655999898910522,1.0,1.0,1.0,1.0,0.9865460685897676,1057459.0,1.0,2949030.0,2.997086524963379,26.887403964996338,0.001,1024
6,6,0.3494874834696452,0.378740966796875,0.87075,0.8693000078201294,1.0,1.0,1.0,1.0,0.9857334776280927,1056588.0,1.0,2949030.0,2.9585695266723633,29.861960649490356,0.001,1024
7,7,0.33224067103068033,0.3805599853515625,0.8752833333333333,0.8679999709129333,1.0,1.0,1.0,1.0,0.9848882337575102,1055682.0,1.0,2949030.0,2.9624478816986084,32.84016251564026,0.001,1024
8,8,0.3164814313252767,0.367427685546875,0.8811,0.8726999759674072,1.0,1.0,1.0,1.0,0.9839137776616785,1054637.5,1.0,2949030.0,3.0785415172576904,35.934152364730835,0.001,1024
9,9,0.3072185785929362,0.3570486083984375,0.8839833333333333,0.8815999627113342,1.0,1.0,1.0,1.0,0.9827970481770347,1053440.5,1.0,2949030.0,2.9337334632873535,38.88454294204712,0.001,1024
10,10,0.2896357322692871,0.352059130859375,0.8913833333333333,0.8769999742507935,1.0,1.0,1.0,1.0,0.9817209015934619,1052287.0,1.0,2949030.0,2.938851833343506,41.83991980552673,0.001,1024
