,epoch,Train loss,Test loss,Train Accuracy,Test Accuracy,sparsity conv1,sparsity conv2,sparsity mlp1,sparsity mlp2,edge sparsity,param pruned,flops ratio,flops pruned,epoch duration,run duration,lr,batch_size
0,0,1.7305056828816732,0.624299951171875,0.6394333333333333,0.7771999835968018,1.0,0.9599999785423279,0.9937499761581421,0.9940000176429749,"tensor(0.9931, device='cuda:0')","tensor(1064470, device='cuda:0')","tensor(0.9666, device='cuda:0')","tensor(2850539., device='cuda:0')",4.494302749633789,6.491055011749268,0.001,1024
1,1,0.5579358637491862,0.5393912109375,0.8007166666666666,0.8166999816894531,1.0,0.9799999594688416,0.9874999523162842,0.9860000610351562,"tensor(0.9868, device='cuda:0')","tensor(1057762, device='cuda:0')","tensor(0.9785, device='cuda:0')","tensor(2885709., device='cuda:0')",2.899415969848633,9.410342931747437,0.001,1024
2,2,0.5012196482340495,0.476724853515625,0.8201833333333334,0.8373000025749207,1.0,1.0,0.9887499809265137,0.9900000691413879,"tensor(0.9895, device='cuda:0')","tensor(1060666, device='cuda:0')","tensor(0.9947, device='cuda:0')","tensor(2933311., device='cuda:0')",2.9861650466918945,12.413363933563232,0.001,1024
3,3,0.4359259201049805,0.44645439453125,0.8450333333333333,0.8525999784469604,1.0,0.9799999594688416,0.9912499785423279,0.9860000610351562,"tensor(0.9891, device='cuda:0')","tensor(1060165, device='cuda:0')","tensor(0.9798, device='cuda:0')","tensor(2889543., device='cuda:0')",2.8939688205718994,15.325479745864868,0.001,1024
4,4,0.4151434987386068,0.420921142578125,0.8542833333333333,0.8527999520301819,1.0,1.0,0.9887499809265137,0.9800000190734863,"tensor(0.9858, device='cuda:0')","tensor(1056661, device='cuda:0')","tensor(0.9933, device='cuda:0')","tensor(2929301., device='cuda:0')",2.896326780319214,18.241478204727173,0.001,1024
5,5,0.4079116368611654,0.4025910400390625,0.8547,0.8592999577522278,1.0,0.9799999594688416,0.9774999618530273,0.9780000448226929,"tensor(0.9779, device='cuda:0')","tensor(1048150, device='cuda:0')","tensor(0.9740, device='cuda:0')","tensor(2872313., device='cuda:0')",3.18312931060791,21.44549036026001,0.001,1024
6,6,0.42827581787109376,0.4750826171875,0.8471333333333333,0.8203999996185303,1.0,1.0,0.9787499904632568,0.9820000529289246,"tensor(0.9806, device='cuda:0')","tensor(1051054, device='cuda:0')","tensor(0.9901, device='cuda:0')","tensor(2919767., device='cuda:0')",2.972886562347412,24.440679788589478,0.001,1024
7,7,0.3616416358947754,0.392297900390625,0.8699,0.8606999516487122,1.0,1.0,0.9874999523162842,0.9860000610351562,"tensor(0.9873, device='cuda:0')","tensor(1058263, device='cuda:0')","tensor(0.9937, device='cuda:0')","tensor(2930413., device='cuda:0')",3.0057270526885986,27.469777822494507,0.001,1024
8,8,0.3383750717163086,0.405890087890625,0.87695,0.8684999942779541,0.949999988079071,0.9799999594688416,0.9887499809265137,0.9800000190734863,"tensor(0.9853, device='cuda:0')","tensor(1056134, device='cuda:0')","tensor(0.9465, device='cuda:0')","tensor(2791205., device='cuda:0')",2.9504008293151855,30.444860458374023,0.001,1024
9,9,0.3317899614969889,0.3546381103515625,0.8802666666666666,0.8781999945640564,1.0,0.9799999594688416,0.9837499856948853,0.984000027179718,"tensor(0.9838, device='cuda:0')","tensor(1054558, device='cuda:0')","tensor(0.9770, device='cuda:0')","tensor(2881077., device='cuda:0')",2.9411163330078125,33.41234588623047,0.001,1024
