,epoch,Train loss,Test loss,Train Accuracy,Test Accuracy,sparsity conv1,sparsity conv2,sparsity mlp1,sparsity mlp2,edge sparsity,param pruned,flops ratio,flops pruned,epoch duration,run duration,lr,batch_size
0,0,7.454917054239909,0.26869130859375,0.64345,0.927299976348877,1.0,1.0,1.0,1.0,0.9896522931671455,1060788.5,1.0,2949030.0,4.583411693572998,6.607903242111206,0.001,1024
1,1,0.173056534576416,0.133459130859375,0.9458333333333333,0.9644999504089355,1.0,1.0,1.0,1.0,0.9891909542112923,1060294.0,1.0,2949030.0,2.9712932109832764,9.618967056274414,0.001,1024
2,2,0.10107982069651286,0.098954833984375,0.9675,0.9740999937057495,1.0,1.0,1.0,1.0,0.9886470500429152,1059711.0,1.0,2949030.0,2.925652503967285,12.560043811798096,0.001,1024
3,3,0.07195767621994019,0.09313587036132813,0.9770666666666666,0.9765999913215637,1.0,1.0,1.0,1.0,0.9881805799156622,1059211.0,1.0,2949030.0,2.863199234008789,15.439232349395752,0.001,1024
4,4,0.05829158484141032,0.07513843994140625,0.98185,0.9800999760627747,1.0,1.0,1.0,1.0,0.987573702280106,1058560.5,1.0,2949030.0,2.942732810974121,18.39702010154724,0.001,1024
5,5,0.04387980477015178,0.0724026611328125,0.9859,0.9802999496459961,1.0,1.0,1.0,1.0,0.9869257752733515,1057866.0,1.0,2949030.0,2.9975311756134033,21.410094261169434,0.001,1024
6,6,0.039090518315633135,0.0670130126953125,0.9866,0.9822999835014343,1.0,1.0,1.0,1.0,0.9861663619061836,1057052.0,1.0,2949030.0,3.116840124130249,24.544751405715942,0.001,1024
7,7,0.02838574528694153,0.0628929443359375,0.9903833333333333,0.9835000038146973,1.0,1.0,1.0,1.0,0.9854316714557599,1056264.5,1.0,2949030.0,2.9590680599212646,27.51997447013855,0.001,1024
8,8,0.025065010436375938,0.06978629760742187,0.9916166666666667,0.9825999736785889,1.0,1.0,1.0,1.0,0.9845159905959623,1055283.0,1.0,2949030.0,2.9290578365325928,30.46624231338501,0.001,1024
9,9,0.02124535452524821,0.06649815063476562,0.9926333333333334,0.9835999608039856,1.0,1.0,1.0,1.0,0.9834860245549875,1054179.0,1.0,2949030.0,2.9539263248443604,33.43654465675354,0.001,1024
10,10,0.018274061711629232,0.06465391845703125,0.9935666666666667,0.9847999811172485,1.0,1.0,1.0,1.0,0.9825111019890286,1053134.0,1.0,2949030.0,3.005014419555664,36.458412408828735,0.001,1024
11,11,0.015410101954142252,0.060706622314453125,0.9949333333333333,0.9860000014305115,1.0,1.0,1.0,1.0,0.981413031309475,1051957.0,1.0,2949030.0,2.8793604373931885,39.356066942214966,0.001,1024
12,12,0.012688321109612783,0.0654373779296875,0.9957333333333334,0.984499990940094,1.0,1.0,1.0,1.0,0.9800602679404411,1050507.0,1.0,2949030.0,3.0061378479003906,42.37997055053711,0.001,1024
13,13,0.01166611582438151,0.0604049072265625,0.9962666666666666,0.9860000014305115,1.0,1.0,1.0,1.0,0.9786617904989364,1049008.0,1.0,2949030.0,2.89018177986145,45.28780770301819,0.001,1024
14,14,0.012096277610460917,0.06759880981445313,0.99575,0.9845999479293823,1.0,1.0,1.0,1.0,0.977107045564802,1047341.5,1.0,2949030.0,3.028700828552246,48.33401012420654,0.001,1024
15,15,0.011297282024224599,0.0621250244140625,0.9963333333333333,0.9860999584197998,1.0,1.0,1.0,1.0,0.9753913684367653,1045502.5,1.0,2949030.0,2.8896310329437256,51.24147582054138,0.001,1024
16,16,0.007899475743373236,0.06767726440429687,0.9974,0.9853000044822693,1.0,1.0,1.0,1.0,0.973551143784752,1043530.0,1.0,2949030.0,2.9048972129821777,54.164735555648804,0.001,1024
17,17,0.006858842786153158,0.0625928955078125,0.9978,0.9861999750137329,1.0,1.0,1.0,1.0,0.971298559540247,1041115.5,1.0,2949030.0,2.9110324382781982,57.094112396240234,0.001,1024
18,18,0.00903267084757487,0.06960238647460938,0.99685,0.9853999614715576,1.0,1.0,1.0,1.0,0.9690170541478523,1038670.0,1.0,2949030.0,2.8403093814849854,59.95293045043945,0.001,1024
19,19,0.0075395610054334004,0.07031629028320313,0.9974666666666666,0.9837999939918518,1.0,1.0,1.0,1.0,0.9664827219464865,1035953.5,1.0,2949030.0,3.1547791957855225,63.12619876861572,0.001,1024
20,20,0.009376898248990377,0.06881572265625,0.9966666666666667,0.9868999719619751,1.0,1.0,1.0,1.0,0.9637142217412397,1032986.0,1.0,2949030.0,2.9481921195983887,66.0932264328003,0.001,1024
21,21,0.00893127865990003,0.06567710571289062,0.9966833333333334,0.9860000014305115,1.0,1.0,1.0,1.0,0.9604279396947419,1029463.5,1.0,2949030.0,2.945333957672119,69.05892586708069,0.001,1024
22,22,0.008188368380069732,0.06426082763671875,0.9972833333333333,0.9869999885559082,1.0,1.0,1.0,1.0,0.9570311042280852,1025822.5,1.0,2949030.0,3.0520927906036377,72.13181900978088,0.001,1024
23,23,0.006117956973115603,0.07205601196289063,0.9977666666666667,0.9853999614715576,1.0,1.0,1.0,1.0,0.9531691980445572,1021683.0,1.0,2949030.0,3.014543294906616,75.16585683822632,0.001,1024
24,24,0.009340628413359324,0.07127217407226563,0.9967333333333334,0.9856999516487122,1.0,1.0,1.0,1.0,0.9490493338806583,1017267.0,1.0,2949030.0,3.047123670578003,78.2327470779419,0.001,1024
25,25,0.008340852769215902,0.0643541748046875,0.99715,0.986799955368042,1.0,1.0,1.0,1.0,0.9443557114602381,1012236.0,1.0,2949030.0,3.0852773189544678,81.33825445175171,0.001,1024
26,26,0.007942549002170562,0.06644568481445312,0.99715,0.986799955368042,1.0,1.0,1.0,1.0,0.9392539276784715,1006767.5,1.0,2949030.0,2.9973771572113037,84.35724472999573,0.001,1024
27,27,0.008438411545753479,0.072276123046875,0.9974333333333333,0.9864999651908875,1.0,1.0,1.0,1.0,0.9336101056088368,1000718.0,1.0,2949030.0,2.9441730976104736,87.32226419448853,0.001,1024
28,28,0.012108969368537267,0.07277645874023438,0.9958166666666667,0.9855999946594238,1.0,1.0,1.0,1.0,0.9276686755980147,994349.5,1.0,2949030.0,2.9396910667419434,90.28285050392151,0.001,1024
29,29,0.007676749708255132,0.06222029418945312,0.9973833333333333,0.9875999689102173,1.0,1.0,1.0,1.0,0.9210816509310744,987289.0,1.0,2949030.0,2.91371488571167,93.21926712989807,0.001,1024
30,30,0.009873453676700592,0.07484581298828125,0.9968333333333333,0.9858999848365784,1.0,1.0,1.0,1.0,0.9137100235100944,979387.5,1.0,2949030.0,3.017380714416504,96.25893306732178,0.001,1024
31,31,0.009803380568822224,0.07123680419921875,0.9965333333333334,0.9870999455451965,1.0,1.0,1.0,1.0,0.9057268537522857,970830.5,1.0,2949030.0,2.872708559036255,99.15305876731873,0.001,1024
32,32,0.010053462600708008,0.07410493774414062,0.9963666666666666,0.9869999885559082,1.0,1.0,1.0,1.0,0.8971172146135762,961602.0,1.0,2949030.0,3.119481325149536,102.29450345039368,0.001,1024
33,33,0.011732565609614054,0.0711935302734375,0.9959666666666667,0.9875999689102173,1.0,1.0,1.0,1.0,0.8881591222898085,952000.0,1.0,2949030.0,3.166564702987671,105.4898955821991,0.001,1024
34,34,0.009035846918821335,0.06535654296875,0.9967666666666667,0.9878000020980835,1.0,1.0,1.0,1.0,0.8780628428555435,941178.0,1.0,2949030.0,3.0071754455566406,108.51984000205994,0.001,1024
