,epoch,Train loss,Test loss,Train Accuracy,Test Accuracy,sparsity conv1,sparsity conv2,sparsity mlp1,sparsity mlp2,edge sparsity,param pruned,flops ratio,flops pruned,epoch duration,run duration,lr,batch_size
0,0,7.454301543172201,0.268820849609375,0.6437333333333334,0.9253999590873718,1.0,1.0,1.0,1.0,0.9896518266970183,1060788.0,1.0,2949030.0,4.506411790847778,6.687848091125488,0.001,1024
1,1,0.1726754336039225,0.1344164794921875,0.9462833333333334,0.9635999798774719,1.0,1.0,1.0,1.0,0.9891881553905288,1060291.0,1.0,2949030.0,2.891531467437744,9.59715223312378,0.001,1024
2,2,0.10093267866770426,0.10005464477539062,0.9677,0.9736999869346619,1.0,1.0,1.0,1.0,0.9886489159234243,1059713.0,1.0,2949030.0,2.9046030044555664,12.517115116119385,0.001,1024
3,3,0.07186885871887207,0.09414706420898437,0.9766,0.9749999642372131,1.0,1.0,1.0,1.0,0.9881782475650259,1059208.5,1.0,2949030.0,2.847555637359619,15.379390954971313,0.001,1024
4,4,0.058939146200815834,0.07748347778320312,0.9817833333333333,0.9792999625205994,1.0,1.0,1.0,1.0,0.9875657722879427,1058552.0,1.0,2949030.0,2.942739248275757,18.336414575576782,0.001,1024
5,5,0.043899886894226074,0.07308858032226563,0.9861,0.9805999994277954,1.0,1.0,1.0,1.0,0.9869159794006792,1057855.5,1.0,2949030.0,2.9574813842773438,21.308576822280884,0.001,1024
6,6,0.03859018224080404,0.067069091796875,0.98695,0.9815999865531921,1.0,1.0,1.0,1.0,0.9861593648542747,1057044.5,1.0,2949030.0,2.9078030586242676,24.2316734790802,0.001,1024
7,7,0.028246670071283977,0.06392835693359375,0.9903833333333333,0.9828999638557434,1.0,1.0,1.0,1.0,0.9854246744038512,1056257.0,1.0,2949030.0,2.8654608726501465,27.11222505569458,0.001,1024
8,8,0.02282361912727356,0.07147929077148438,0.99255,0.9828999638557434,1.0,1.0,1.0,1.0,0.9845103929544352,1055277.0,1.0,2949030.0,2.9047904014587402,30.03277850151062,0.001,1024
9,9,0.02019245832761129,0.06309401245117187,0.9932,0.9842999577522278,1.0,1.0,1.0,1.0,0.9834682986901518,1054160.0,1.0,2949030.0,2.8739993572235107,32.92237377166748,0.001,1024
10,10,0.017743324343363443,0.06288438110351563,0.994,0.9848999977111816,1.0,1.0,1.0,1.0,0.9824947755345748,1053116.5,1.0,2949030.0,2.9281978607177734,35.86635208129883,0.001,1024
11,11,0.015465863299369812,0.06173634033203125,0.9948166666666667,0.9853999614715576,1.0,1.0,1.0,1.0,0.9813971713251484,1051940.0,1.0,2949030.0,2.95851731300354,38.84113430976868,0.001,1024
12,12,0.012373428225517274,0.06709736328125,0.99585,0.9837999939918518,1.0,1.0,1.0,1.0,0.9800364779639512,1050481.5,1.0,2949030.0,3.0823845863342285,41.93980598449707,0.001,1024
13,13,0.013402729256947835,0.0661744873046875,0.99535,0.9854999780654907,1.0,1.0,1.0,1.0,0.978635201701683,1048979.5,1.0,2949030.0,3.0248444080352783,44.98109531402588,0.001,1024
14,14,0.012149491357803344,0.06782241821289063,0.9958666666666667,0.9840999841690063,1.0,1.0,1.0,1.0,0.9770706608948763,1047302.5,1.0,2949030.0,2.86617112159729,47.86466717720032,0.001,1024
15,15,0.010718342848618825,0.06720557250976562,0.9961833333333333,0.9845999479293823,1.0,1.0,1.0,1.0,0.9753675784602754,1045477.0,1.0,2949030.0,2.925063371658325,50.80690932273865,0.001,1024
16,16,0.00870044052998225,0.06711234741210938,0.9969833333333333,0.9855999946594238,1.0,1.0,1.0,1.0,0.9735166249953353,1043493.0,1.0,2949030.0,2.9169769287109375,53.7419331073761,0.001,1024
17,17,0.007930936541159948,0.066679296875,0.9974166666666666,0.9848999977111816,1.0,1.0,1.0,1.0,0.9712528454677762,1041066.5,1.0,2949030.0,2.8940985202789307,56.65461492538452,0.001,1024
18,18,0.008579119408130645,0.0699793701171875,0.99715,0.9846999645233154,1.0,1.0,1.0,1.0,0.9689657424338546,1038615.0,1.0,2949030.0,3.00260591506958,59.67465019226074,0.001,1024
19,19,0.008011302324136098,0.06655010375976562,0.99725,0.9855999946594238,1.0,1.0,1.0,1.0,0.9664323431727432,1035899.5,1.0,2949030.0,2.839627265930176,62.5321900844574,0.001,1024
20,20,0.009148775684833526,0.0648988037109375,0.9970166666666667,0.9868999719619751,1.0,1.0,1.0,1.0,0.9636601112064783,1032928.0,1.0,2949030.0,2.894482135772705,65.44450902938843,0.001,1024
21,21,0.008204794955253602,0.06129802856445313,0.9970333333333333,0.9872999787330627,1.0,1.0,1.0,1.0,0.9603500391834907,1029380.0,1.0,2949030.0,3.0640437602996826,68.52688145637512,0.001,1024
22,22,0.007750341228644053,0.06493739013671875,0.9974333333333333,0.9869999885559082,1.0,1.0,1.0,1.0,0.9569602007687428,1025746.5,1.0,2949030.0,2.859868049621582,71.40510940551758,0.001,1024
23,23,0.006534587864081065,0.07558603515625,0.9976666666666667,0.9855999946594238,1.0,1.0,1.0,1.0,0.9530889651826697,1021597.0,1.0,2949030.0,2.836305856704712,74.26285934448242,0.001,1024
24,24,0.009646641743183136,0.07254636840820312,0.9965333333333334,0.9860999584197998,1.0,1.0,1.0,1.0,0.9489700339590252,1017182.0,1.0,2949030.0,2.9387078285217285,77.22047424316406,0.001,1024
25,25,0.009559300835927327,0.06158638916015625,0.9964333333333333,0.9866999983787537,1.0,1.0,1.0,1.0,0.9442638168451692,1012137.5,1.0,2949030.0,3.1386172771453857,80.37912678718567,0.001,1024
26,26,0.007643311105171839,0.07003333129882812,0.9973,0.9860000014305115,1.0,1.0,1.0,1.0,0.9391452401388215,1006651.0,1.0,2949030.0,3.015003204345703,83.44294428825378,0.001,1024
27,27,0.008657649576663972,0.07035096435546875,0.9968333333333333,0.9873999953269958,1.0,1.0,1.0,1.0,0.9334668992797701,1000564.5,1.0,2949030.0,3.022026538848877,86.4844720363617,0.001,1024
28,28,0.011840611680348714,0.06966801147460938,0.9959166666666667,0.9872999787330627,1.0,1.0,1.0,1.0,0.9275077434041124,994177.0,1.0,2949030.0,2.9560189247131348,89.46094274520874,0.001,1024
29,29,0.009938767417271932,0.07131258544921874,0.9964166666666666,0.986299991607666,1.0,1.0,1.0,1.0,0.9209118558047542,987107.0,1.0,2949030.0,3.024437189102173,92.50582909584045,0.001,1024
30,30,0.009021413685878117,0.074875048828125,0.9970666666666667,0.9860000014305115,1.0,1.0,1.0,1.0,0.9135290331007202,979193.5,1.0,2949030.0,2.996854066848755,95.52281832695007,0.001,1024
31,31,0.00923465560277303,0.07412523803710938,0.9966166666666667,0.9872999787330627,1.0,1.0,1.0,1.0,0.9055575250960929,970649.0,1.0,2949030.0,3.059746265411377,98.60315704345703,0.001,1024
32,32,0.008149757778644563,0.07750326538085937,0.9971166666666667,0.9865999817848206,1.0,1.0,1.0,1.0,0.8968727842668955,961340.0,1.0,2949030.0,3.0086605548858643,101.63244485855103,0.001,1024
33,33,0.010499811432758967,0.07292009887695312,0.9965666666666667,0.9874999523162842,1.0,1.0,1.0,1.0,0.8879636713064896,951790.5,1.0,2949030.0,2.875483512878418,104.53039574623108,0.001,1024
34,34,0.012573075520992278,0.0771439453125,0.9959666666666667,0.986299991607666,1.0,1.0,1.0,1.0,0.8778025525245363,940899.0,1.0,2949030.0,2.9150662422180176,107.46663093566895,0.001,1024
