,epoch,Train loss,Test loss,Train Accuracy,Test Accuracy,sparsity conv1,sparsity conv2,sparsity mlp1,sparsity mlp2,edge sparsity,param pruned,flops ratio,flops pruned,epoch duration,run duration,lr,batch_size
0,0,3.6782889676411945,0.16609599609375,0.7819,0.9520999789237976,1.0,0.9599999785423279,0.9937499761581421,0.9940000176429749,"tensor(0.9931, device='cuda:0')","tensor(1064470, device='cuda:0')","tensor(0.9666, device='cuda:0')","tensor(2850539., device='cuda:0')",4.031168699264526,6.448948383331299,0.001,1024
1,1,0.14533802299499513,0.1227110595703125,0.95545,0.9702999591827393,1.0,0.9799999594688416,0.9874999523162842,0.9860000610351562,"tensor(0.9868, device='cuda:0')","tensor(1057762, device='cuda:0')","tensor(0.9785, device='cuda:0')","tensor(2885709., device='cuda:0')",2.4883975982666016,8.979218006134033,0.001,1024
2,2,0.10608037598927816,0.09040855712890625,0.967,0.9746999740600586,1.0,1.0,0.9887499809265137,0.9900000691413879,"tensor(0.9895, device='cuda:0')","tensor(1060666, device='cuda:0')","tensor(0.9947, device='cuda:0')","tensor(2933311., device='cuda:0')",2.5512502193450928,11.548214435577393,0.001,1024
3,3,0.07105878667831421,0.07838952026367188,0.9777166666666667,0.9802999496459961,1.0,0.9799999594688416,0.9912499785423279,0.9860000610351562,"tensor(0.9891, device='cuda:0')","tensor(1060165, device='cuda:0')","tensor(0.9798, device='cuda:0')","tensor(2889543., device='cuda:0')",2.6308205127716064,14.198440551757812,0.001,1024
4,4,0.060421545028686525,0.0597998779296875,0.9808166666666667,0.9833999872207642,1.0,1.0,0.9887499809265137,0.9820000529289246,"tensor(0.9865, device='cuda:0')","tensor(1057462, device='cuda:0')","tensor(0.9936, device='cuda:0')","tensor(2930103., device='cuda:0')",2.627213716506958,16.846938371658325,0.001,1024
5,5,0.04716800975799561,0.05935555419921875,0.9850833333333333,0.9840999841690063,1.0,0.9799999594688416,0.9787499904632568,0.9780000448226929,"tensor(0.9786, device='cuda:0')","tensor(1048951, device='cuda:0')","tensor(0.9744, device='cuda:0')","tensor(2873587., device='cuda:0')",2.742687463760376,19.61329698562622,0.001,1024
6,6,0.04473957303365072,0.05486981811523438,0.9855666666666667,0.98499995470047,1.0,1.0,0.9787499904632568,0.9820000529289246,"tensor(0.9806, device='cuda:0')","tensor(1051054, device='cuda:0')","tensor(0.9901, device='cuda:0')","tensor(2919767., device='cuda:0')",2.588212251663208,22.22452998161316,0.001,1024
7,7,0.03369339583714803,0.0590556640625,0.9892,0.9838999509811401,1.0,1.0,0.9887499809265137,0.9900000691413879,"tensor(0.9895, device='cuda:0')","tensor(1060666, device='cuda:0')","tensor(0.9947, device='cuda:0')","tensor(2933311., device='cuda:0')",2.516968250274658,24.765839099884033,0.001,1024
8,8,0.02677845015525818,0.05520083618164062,0.9914666666666667,0.9872999787330627,0.949999988079071,0.9799999594688416,0.9912499785423279,0.9820000529289246,"tensor(0.9876, device='cuda:0')","tensor(1058537, device='cuda:0')","tensor(0.9476, device='cuda:0')","tensor(2794559., device='cuda:0')",2.56498122215271,27.35691499710083,0.001,1024
9,9,0.019044282182057698,0.052946533203125,0.9940333333333333,0.9873999953269958,1.0,0.9799999594688416,0.9837499856948853,0.9880000352859497,"tensor(0.9853, device='cuda:0')","tensor(1056160, device='cuda:0')","tensor(0.9775, device='cuda:0')","tensor(2882673., device='cuda:0')",2.4942965507507324,29.878616333007812,0.001,1024
10,10,0.026123474597930907,0.05569189453125,0.9914666666666667,0.9858999848365784,1.0,1.0,0.9787499904632568,0.9880000352859497,"tensor(0.9828, device='cuda:0')","tensor(1053457, device='cuda:0')","tensor(0.9909, device='cuda:0')","tensor(2922149., device='cuda:0')",2.5502257347106934,32.458824157714844,0.001,1024
11,11,0.014446692276000976,0.04647310791015625,0.9956333333333334,0.9882999658584595,1.0,1.0,0.9774999618530273,0.9800000190734863,"tensor(0.9791, device='cuda:0')","tensor(1049452, device='cuda:0')","tensor(0.9894, device='cuda:0')","tensor(2917682., device='cuda:0')",2.5765836238861084,35.06553816795349,0.001,1024
12,12,0.014411075270175934,0.05357039794921875,0.9954166666666666,0.9875999689102173,1.0,0.9799999594688416,0.9674999713897705,0.9780000448226929,"tensor(0.9719, device='cuda:0')","tensor(1041742, device='cuda:0')","tensor(0.9705, device='cuda:0')","tensor(2862121., device='cuda:0')",2.640028238296509,37.73741269111633,0.001,1024
13,13,0.014817250323295594,0.049901519775390625,0.9952666666666666,0.9874999523162842,1.0,1.0,0.9799999594688416,0.9860000610351562,"tensor(0.9828, device='cuda:0')","tensor(1053457, device='cuda:0')","tensor(0.9911, device='cuda:0')","tensor(2922649., device='cuda:0')",2.626634359359741,40.397183656692505,0.001,1024
14,14,0.01653172820409139,0.0571199462890625,0.9944666666666667,0.9855999946594238,1.0,0.9599999785423279,0.96875,0.9760000705718994,"tensor(0.9714, device='cuda:0')","tensor(1041241, device='cuda:0')","tensor(0.9556, device='cuda:0')","tensor(2818145., device='cuda:0')",2.5905754566192627,43.02255463600159,0.001,1024
15,15,0.014432305272420247,0.05628252563476562,0.9950833333333333,0.9861999750137329,1.0,1.0,0.9699999690055847,0.9820000529289246,"tensor(0.9753, device='cuda:0')","tensor(1045447, device='cuda:0')","tensor(0.9870, device='cuda:0')","tensor(2910723., device='cuda:0')",2.535811185836792,45.59517526626587,0.001,1024
16,16,0.010692551263173422,0.051723260498046875,0.9966666666666667,0.9874999523162842,1.0,0.9799999594688416,0.9724999666213989,0.9620000720024109,"tensor(0.9689, device='cuda:0')","tensor(1038538, device='cuda:0')","tensor(0.9701, device='cuda:0')","tensor(2860905., device='cuda:0')",2.614995241165161,48.24688172340393,0.001,1024
17,17,0.011419372220834096,0.05169612426757812,0.99615,0.9882999658584595,1.0,1.0,0.9624999761581421,0.9660000205039978,"tensor(0.9649, device='cuda:0')","tensor(1034233, device='cuda:0')","tensor(0.9823, device='cuda:0')","tensor(2896723., device='cuda:0')",2.540400981903076,50.8257155418396,0.001,1024
18,18,0.00891324364344279,0.0535249755859375,0.9969833333333333,0.9884999990463257,1.0,0.9799999594688416,0.9712499976158142,0.9720000624656677,"tensor(0.9719, device='cuda:0')","tensor(1041742, device='cuda:0')","tensor(0.9710, device='cuda:0')","tensor(2863579., device='cuda:0')",2.650311231613159,53.51624417304993,0.001,1024
19,19,0.007830510634183883,0.05333409423828125,0.9971833333333333,0.9884999990463257,1.0,0.9799999594688416,0.9574999809265137,0.9580000638961792,"tensor(0.9584, device='cuda:0')","tensor(1027324, device='cuda:0')","tensor(0.9644, device='cuda:0')","tensor(2844159., device='cuda:0')",2.610903263092041,56.168538093566895,0.001,1024
