,epoch,Train loss,Test loss,Train Accuracy,Test Accuracy,sparsity mlp1,sparsity mlp2,edge sparsity,param pruned,flops ratio,flops pruned,epoch duration,run duration,lr,batch_size
0,0,1.2329759246826173,0.63828115234375,0.6957666666666666,0.79339998960495,1.0,1.0,0.9896699483706445,473468.0,1.0,478410.0,5.215283632278442,15.095696210861206,0.001,1024
1,1,0.5373693730672201,0.504632275390625,0.8107666666666666,0.8297999501228333,1.0,1.0,0.9890899019669321,473190.5,1.0,478410.0,2.644010305404663,17.75431227684021,0.001,1024
2,2,0.4501655120849609,0.482556884765625,0.8399333333333333,0.8331999778747559,1.0,1.0,0.9886802115340398,472994.5,1.0,478410.0,2.5712599754333496,20.340972900390625,0.001,1024
3,3,0.42200491536458334,0.460301318359375,0.8490333333333333,0.8456999659538269,1.0,1.0,0.9882736564871135,472800.0,1.0,478410.0,2.617485284805298,22.97497320175171,0.001,1024
4,4,0.38768981348673504,0.40985546875,0.8600666666666666,0.8585999608039856,1.0,1.0,0.9876580757091198,472505.5,1.0,478410.0,2.6760544776916504,25.66420555114746,0.001,1024
5,5,0.3680304595947266,0.4039949462890625,0.8651,0.8625999689102173,1.0,1.0,0.9871031123931356,472240.0,1.0,478410.0,2.7530226707458496,28.430335998535156,0.001,1024
6,6,0.3404301394144694,0.403847607421875,0.8760333333333333,0.858299970626831,1.0,1.0,0.9864864864864865,471945.0,1.0,478410.0,2.5516560077667236,30.995750665664673,0.001,1024
7,7,0.3344934122721354,0.3930489501953125,0.8762166666666666,0.8621000051498413,1.0,1.0,0.9856796471645659,471559.0,1.0,478410.0,2.6027729511260986,33.612141370773315,0.001,1024
8,8,0.32155622812906903,0.381434765625,0.8814666666666666,0.8658999800682068,1.0,1.0,0.9850201709830481,471243.5,1.0,478410.0,2.7225334644317627,36.349177837371826,0.001,1024
9,9,0.30416372197469077,0.3679024658203125,0.8872166666666667,0.873199999332428,1.0,1.0,0.9840178926025793,470764.0,1.0,478410.0,2.575103998184204,38.938830614089966,0.001,1024
10,10,0.30269820861816404,0.375601611328125,0.8874166666666666,0.8730999827384949,1.0,1.0,0.9833396041052653,470439.5,1.0,478410.0,2.793707847595215,41.74710297584534,0.001,1024
11,11,0.2858487899780273,0.367777978515625,0.8942,0.8734999895095825,1.0,1.0,0.9823153780230346,469949.5,1.0,478410.0,2.7554428577423096,44.51745009422302,0.001,1024
12,12,0.28596585057576496,0.3838337890625,0.8934333333333333,0.8682000041007996,1.0,1.0,0.9810664492799064,469352.0,1.0,478410.0,2.5978705883026123,47.13030457496643,0.001,1024
13,13,0.28458132909139,0.380019775390625,0.8939833333333334,0.8709999918937683,1.0,1.0,0.9798206559227441,468756.0,1.0,478410.0,2.803210496902466,49.94821047782898,0.001,1024
14,14,0.27289664306640626,0.3484108642578125,0.89935,0.8800999522209167,1.0,1.0,0.978457808156184,468104.0,1.0,478410.0,2.724358558654785,52.6880898475647,0.001,1024
15,15,0.2703195877075195,0.372017919921875,0.9001,0.8709999918937683,1.0,1.0,0.9769047469743526,467361.0,1.0,478410.0,2.7616755962371826,55.480377435684204,0.001,1024
16,16,0.2580296051025391,0.35784111328125,0.9046166666666666,0.8786999583244324,1.0,1.0,0.9754321606989821,466656.5,1.0,478410.0,2.8238253593444824,58.319387674331665,0.001,1024
17,17,0.2507275591532389,0.3615948974609375,0.90635,0.8762999773025513,1.0,1.0,0.9736042306807968,465782.0,1.0,478410.0,2.8320000171661377,61.16772937774658,0.001,1024
18,18,0.2524896649678548,0.3627072509765625,0.9058666666666667,0.8775999546051025,1.0,1.0,0.9715902677619614,464818.5,1.0,478410.0,2.95336651802063,64.13690996170044,0.001,1024
19,19,0.24945972366333008,0.347443310546875,0.9072,0.8836999535560608,1.0,1.0,0.9693160678079472,463730.5,1.0,478410.0,2.7809436321258545,66.93509697914124,0.001,1024
20,20,0.2469435546875,0.3565189453125,0.9072333333333333,0.8789999485015869,1.0,1.0,0.9669394452457097,462593.5,1.0,478410.0,2.5835492610931396,69.53454542160034,0.001,1024
21,21,0.24089500783284507,0.3377198974609375,0.9096333333333333,0.8836999535560608,1.0,1.0,0.9643527518237495,461356.0,1.0,478410.0,2.650059938430786,72.20101141929626,0.001,1024
22,22,0.2375478141784668,0.351672119140625,0.9116166666666666,0.8812999725341797,1.0,1.0,0.9614410233899793,459963.0,1.0,478410.0,2.6129167079925537,74.83254289627075,0.001,1024
23,23,0.2524837259928385,0.34358271484375,0.9049833333333334,0.8836999535560608,1.0,1.0,0.9580987019502101,458364.0,1.0,478410.0,2.5493721961975098,77.40042781829834,0.001,1024
24,24,0.23332764282226562,0.3409842041015625,0.9127,0.8840999603271484,1.0,1.0,0.9547459292238875,456760.0,1.0,478410.0,2.703617811203003,80.12144112586975,0.001,1024
25,25,0.23413548634847006,0.358458349609375,0.91245,0.8815000057220459,1.0,1.0,0.9508904496143475,454915.5,1.0,478410.0,2.6610019207000732,82.80095148086548,0.001,1024
26,26,0.22964924240112305,0.343532177734375,0.91425,0.8863999843597412,1.0,1.0,0.9467308375661044,452925.5,1.0,478410.0,2.7654104232788086,85.58334755897522,0.001,1024
27,27,0.23088648147583007,0.3457570068359375,0.9130833333333334,0.8862999677658081,1.0,1.0,0.9419566898685228,450641.5,1.0,478410.0,2.8020646572113037,88.40259885787964,0.001,1024
28,28,0.22855161768595378,0.356193505859375,0.91465,0.8855999708175659,1.0,1.0,0.9369473882234903,448245.0,1.0,478410.0,2.877382755279541,91.29828071594238,0.001,1024
29,29,0.23215992024739585,0.3546349609375,0.9126333333333333,0.8887999653816223,1.0,1.0,0.931499132543216,445638.5,1.0,478410.0,2.7853004932403564,94.10190629959106,0.001,1024
30,30,0.2304343266805013,0.350041064453125,0.9134166666666667,0.8915999531745911,1.0,1.0,0.9255345833072052,442785.0,1.0,478410.0,3.122803211212158,97.24285411834717,0.001,1024
31,31,0.2276923136393229,0.347265576171875,0.9127166666666666,0.8873999714851379,1.0,1.0,0.9186482305971865,439490.5,1.0,478410.0,2.682387590408325,99.94450497627258,0.001,1024
32,32,0.23513797912597656,0.3431755126953125,0.9116333333333333,0.8916999697685242,1.0,1.0,0.9118204050918668,436224.0,1.0,478410.0,2.677891254425049,102.6420271396637,0.001,1024
33,33,0.2329356876373291,0.3725807861328125,0.9130666666666667,0.8824999928474426,1.0,1.0,0.9043968562530047,432672.5,1.0,478410.0,2.569859743118286,105.23085594177246,0.001,1024
34,34,0.23791771202087403,0.3557217041015625,0.91005,0.8852999806404114,1.0,1.0,0.8958895089985577,428602.5,1.0,478410.0,2.624375104904175,107.87390899658203,0.001,1024
35,35,0.23639944648742675,0.3778005126953125,0.91115,0.877299964427948,1.0,1.0,0.8872577914341255,424473.0,1.0,478410.0,2.6006336212158203,110.49373745918274,0.001,1024
36,36,0.2396156369527181,0.3733817138671875,0.9097333333333333,0.8826999664306641,1.0,1.0,0.8781400890449614,420111.0,1.0,478410.0,2.6536567211151123,113.166738986969,0.001,1024
37,37,0.23004509773254395,0.366644091796875,0.9123833333333333,0.8855999708175659,1.0,1.0,0.8679459041407998,415234.0,1.0,478410.0,2.6847567558288574,115.87126994132996,0.001,1024
38,38,0.23859910278320312,0.352404248046875,0.91065,0.8899999856948853,1.0,1.0,0.8578875859618319,410422.0,1.0,478410.0,2.6109585762023926,118.50169825553894,0.001,1024
39,39,0.23874560826619465,0.3633762939453125,0.9103166666666667,0.8852999806404114,1.0,1.0,0.8463033799460714,404880.0,1.0,478410.0,2.7927656173706055,121.31393766403198,0.001,1024
40,40,0.242236696879069,0.3643720947265625,0.9081666666666667,0.8898999691009521,1.0,1.0,0.8348038293513932,399378.5,1.0,478410.0,2.698507785797119,124.0325939655304,0.001,1024
41,41,0.2461076182047526,0.37408857421875,0.9074,0.883899986743927,1.0,1.0,0.8223521665517025,393421.5,1.0,478410.0,2.7604987621307373,126.81374311447144,0.001,1024
42,42,0.25452605794270833,0.370417919921875,0.9054833333333333,0.8860999941825867,1.0,1.0,0.810182688488953,387599.5,1.0,478410.0,2.680333137512207,129.51411890983582,0.001,1024
43,43,0.25139747314453126,0.373349267578125,0.9054833333333333,0.8858000040054321,1.0,1.0,0.7965552559520077,381080.0,1.0,478410.0,2.905740737915039,132.44028687477112,0.001,1024
44,44,0.254295450592041,0.3902005859375,0.9049833333333334,0.8830999732017517,1.0,1.0,0.7834566585146632,374813.5,1.0,478410.0,2.622605800628662,135.08408403396606,0.001,1024
45,45,0.2495111422220866,0.371710693359375,0.9064,0.8818999528884888,1.0,1.0,0.7693077067787044,368044.5,1.0,478410.0,2.826533555984497,137.93140482902527,0.001,1024
46,46,0.2544928034464518,0.373936181640625,0.9055333333333333,0.8865000009536743,1.0,1.0,0.755286260738697,361336.5,1.0,478410.0,2.693277597427368,140.64794969558716,0.001,1024
47,47,0.2613928398132324,0.387480517578125,0.90265,0.8840999603271484,1.0,1.0,0.7407819652599235,354397.5,1.0,478410.0,2.728834629058838,143.39782118797302,0.001,1024
48,48,0.2641151433308919,0.373421240234375,0.9021833333333333,0.8822999596595764,1.0,1.0,0.7262609477226647,347450.5,1.0,478410.0,2.7618887424468994,146.18099403381348,0.001,1024
49,49,0.2670536482493083,0.370113134765625,0.9000333333333334,0.8869999647140503,1.0,1.0,0.711551807027445,340413.5,1.0,478410.0,2.662604331970215,148.86521291732788,0.001,1024
50,50,0.2667316764831543,0.415102099609375,0.9003666666666666,0.8700000047683716,1.0,1.0,0.6964977738759641,333211.5,1.0,478410.0,2.7941091060638428,151.68115615844727,0.001,1024
51,51,0.2753837427775065,0.37935087890625,0.8963666666666666,0.8888999819755554,1.0,1.0,0.6821293451223845,326337.5,1.0,478410.0,2.7635204792022705,154.46655464172363,0.001,1024
52,52,0.26750066986083987,0.3796972900390625,0.898,0.8847999572753906,1.0,1.0,0.6665705148303757,318894.0,1.0,478410.0,2.7273385524749756,157.21709537506104,0.001,1024
53,53,0.2766208656311035,0.375461572265625,0.8960333333333333,0.8840000033378601,1.0,1.0,0.6518530131059134,311853.0,1.0,478410.0,2.85187029838562,160.09154438972473,0.001,1024
54,54,0.27873289413452146,0.3778685302734375,0.89555,0.885699987411499,1.0,1.0,0.6373570786563826,304918.0,1.0,478410.0,2.7431910037994385,162.85753512382507,0.001,1024
55,55,0.27636340891520184,0.3773150634765625,0.8964333333333333,0.884399950504303,1.0,1.0,0.6225883656278088,297852.5,1.0,478410.0,2.824083089828491,165.70588874816895,0.001,1024
56,56,0.28317498499552407,0.385892333984375,0.895,0.8834999799728394,1.0,1.0,0.6087362304299659,291225.5,1.0,478410.0,2.707545042037964,168.4374656677246,0.001,1024
57,57,0.2831864654541016,0.375800830078125,0.8938666666666667,0.8862999677658081,1.0,1.0,0.5942841913839594,284311.5,1.0,478410.0,2.851233959197998,171.31172370910645,0.001,1024
58,58,0.2884517504374186,0.3758421875,0.89305,0.8845999836921692,1.0,1.0,0.5802982797182333,277620.5,1.0,478410.0,2.6602346897125244,173.9960160255432,0.001,1024
59,59,0.287792941792806,0.3873099609375,0.8918833333333334,0.884399950504303,1.0,1.0,0.5663855270583809,270964.5,1.0,478410.0,2.9479575157165527,177.00721216201782,0.001,1024
60,60,0.2924636543273926,0.380547607421875,0.8900833333333333,0.8848999738693237,1.0,1.0,0.5530151961706486,264568.0,1.0,478410.0,2.8274569511413574,179.85982179641724,0.001,1024
61,61,0.29751121520996093,0.4060461181640625,0.8893833333333333,0.8752999901771545,1.0,1.0,0.5396009698793921,258150.5,1.0,478410.0,2.761831760406494,182.63777232170105,0.001,1024
62,62,0.29492814051310223,0.395235498046875,0.8891833333333333,0.8826999664306641,1.0,1.0,0.5268190464246149,252035.5,1.0,478410.0,2.7624692916870117,185.4164273738861,0.001,1024
63,63,0.2996820167541504,0.383459765625,0.8881666666666667,0.8806999921798706,1.0,1.0,0.5142910892330846,246042.0,1.0,478410.0,2.7310070991516113,188.1640841960907,0.001,1024
64,64,0.2978828224182129,0.393384326171875,0.88825,0.8836999535560608,1.0,1.0,0.5013085010764825,239831.0,1.0,478410.0,2.8161654472351074,190.99652528762817,0.001,1024
