,epoch,Train loss,Test loss,Train Accuracy,Test Accuracy,sparsity mlp1,sparsity mlp2,edge sparsity,param pruned,flops ratio,flops pruned,epoch duration,run duration,lr,batch_size
0,0,2.200409221903483,0.2210601806640625,0.7955833333333333,0.9357999563217163,1.0,1.0,0.9872786940072323,472324.0,1.0,478410.0,5.576624393463135,17.60424017906189,0.005,1024
1,1,0.17661675237019855,0.1510223388671875,0.9469166666666666,0.9558999538421631,1.0,1.0,0.9828996049413683,470229.0,1.0,478410.0,2.3032565116882324,19.94386124610901,0.005,1024
2,2,0.11618712768554687,0.12674747314453125,0.9646166666666667,0.9635999798774719,1.0,1.0,0.9758951526932965,466878.0,1.0,478410.0,2.4399473667144775,22.40071201324463,0.005,1024
3,3,0.0887302697499593,0.12196942138671875,0.9721833333333333,0.9666999578475952,1.0,1.0,0.9640862440166384,461228.5,1.0,478410.0,2.3185157775878906,24.732682704925537,0.005,1024
4,4,0.06851630115509033,0.12150247802734375,0.9779333333333333,0.9672999978065491,1.0,1.0,0.9436497982901695,451451.5,1.0,478410.0,2.470458507537842,27.21658682823181,0.005,1024
5,5,0.06124155848821004,0.12028890380859375,0.9797833333333333,0.9700999855995178,1.0,1.0,0.9077318617921866,434268.0,1.0,478410.0,2.3032567501068115,29.5334951877594,0.005,1024
6,6,0.054670865694681804,0.12382918701171874,0.9819833333333333,0.9704999923706055,1.0,1.0,0.8466712652327502,405056.0,1.0,478410.0,2.428727388381958,31.97625422477722,0.005,1024
7,7,0.05280163456598918,0.1240846923828125,0.9820833333333333,0.9724999666213989,1.0,1.0,0.7565007002361991,361917.5,1.0,478410.0,2.4043638706207275,34.39474844932556,0.005,1024
8,8,0.0637047768910726,0.1297701416015625,0.9791333333333333,0.9710999727249146,1.0,1.0,0.6443092744716875,308244.0,1.0,478410.0,2.3790361881256104,36.787890911102295,0.005,1024
9,9,0.07166634502410889,0.1269303955078125,0.9760333333333333,0.9732999801635742,1.0,1.0,0.5327783700173492,254886.5,1.0,478410.0,2.302818536758423,39.1059308052063,0.005,1024
10,10,0.08316940256754557,0.1385555419921875,0.9729,0.9708999991416931,1.0,1.0,0.4375577433582074,209332.0,1.0,478410.0,2.4085166454315186,41.529106855392456,0.005,1024
11,11,0.08971574687957763,0.1626043212890625,0.9718666666666667,0.9663999676704407,1.0,1.0,0.36347275349595537,173889.0,1.0,478410.0,2.323967695236206,43.86793541908264,0.005,1024
12,12,0.09531047744750977,0.15512447509765626,0.9697666666666667,0.9692999720573425,1.0,1.0,0.3071121004995715,146925.5,0.9999581948537865,478390.0,2.3293843269348145,46.212302923202515,0.005,1024
13,13,0.10321852938334147,0.15395267333984375,0.9680333333333333,0.9711999893188477,1.0,1.0,0.2645325139524676,126555.0,0.9999059384210196,478365.0,2.3025686740875244,48.52992606163025,0.005,1024
14,14,0.11164060490926107,0.14889454345703124,0.9644333333333334,0.9714999794960022,1.0,1.0,0.23078217428565456,110408.5,0.9998954871344663,478360.0,2.3221523761749268,50.86739802360535,0.005,1024
15,15,0.11724858512878418,0.1472988525390625,0.96335,0.9727999567985535,1.0,1.0,0.204289208001505,97734.0,0.9998432307016993,478335.0,2.3610172271728516,53.243752002716064,0.005,1024
16,16,0.11893483136494955,0.16131650390625,0.9629,0.9697999954223633,1.0,1.0,0.1823592734265588,87242.5,0.9998118768420392,478320.0,2.295701026916504,55.55492424964905,0.005,1024
17,17,0.1282180044809977,0.1671711669921875,0.95955,0.9698999524116516,1.0,1.0,0.16476766789991848,78826.5,0.9998014255554859,478315.0,2.3005452156066895,57.87146329879761,0.005,1024
18,18,0.13344866256713867,0.1576106201171875,0.9591833333333334,0.9717999696731567,1.0,1.0,0.14949938337409335,71522.0,0.9997282665496122,478280.0,2.5196726322174072,60.40740942955017,0.005,1024
19,19,0.13166931190490722,0.16460703125,0.95895,0.9684999585151672,1.0,1.0,0.1370445851884367,65563.5,0.9996969126899521,478265.0,2.3662383556365967,62.789854526519775,0.005,1024
20,20,0.13366774978637697,0.15232662353515625,0.9589166666666666,0.974399983882904,1.0,1.0,0.12595890554127212,60260.0,0.9996237536840785,478230.0,2.3745570182800293,65.18084359169006,0.005,1024
21,21,0.1410930025736491,0.16557791748046874,0.95705,0.9684999585151672,1.0,1.0,0.11642733220459439,55700.0,0.9996237536840785,478230.0,2.293181896209717,67.49049067497253,0.005,1024
22,22,0.1429439686457316,0.16415880126953125,0.95585,0.9700999855995178,1.0,1.0,0.10821262097364186,51770.0,0.9995192408185447,478180.0,2.4009995460510254,69.90810561180115,0.005,1024
